,subject,dp,distance,chi-square,df,p-value,explainable,rejected
0,JJ,1.8,12.389415896569949,303.7432140521473,100.0,0.0,False,True
1,YPL,1.8,12.344590795344939,272.47328938076674,100.0,0.0,True,True
2,XBJ,1.1,8.364257916212276,262.0272670505769,100.0,2.220446049250313e-16,False,True
3,ZY,0.85,13.369370890601589,229.22311942527298,100.0,3.806177595322424e-12,True,True
4,LD,0.75,10.271666046750644,165.36629467040726,80.0,6.757871195972598e-08,False,True
5,BYZ,0.6,9.667164991552813,178.35778750797147,100.0,2.4170447294746818e-06,True,True
6,QP,1.4,11.695977135970914,174.64153008510357,100.0,5.656138354348528e-06,True,True
7,SZJ,0.85,13.65434384284891,166.5203104051696,100.0,3.3707786788794714e-05,False,True
8,SL,1.0,10.85873924467747,157.65671644855098,100.0,0.00020912653090010558,True,True
9,ZJT,0.95,6.0035423033453625,115.08316269012802,80.0,0.006225940447356249,True,True
10,TCD,0.95,11.628453490166105,136.61146181898962,100.0,0.008828020538753091,True,True
11,ZXL,1.2,6.4629821104011365,133.76828837046585,100.0,0.013622307960107992,True,True
12,ZLK,0.8,7.210206185201386,132.25446098940205,100.0,0.01703087654011559,False,True
13,CLL,0.6,7.675019710293884,85.20163895961224,60.0,0.017913406686716482,False,True
14,HMH,0.75,12.71505740670152,130.39298045333715,100.0,0.0222466217546522,False,True
15,YJZ,0.55,12.177336852359463,130.1225632221941,100.0,0.023111010318128452,False,True
16,PC,0.6,6.844640173596464,80.46621874001714,60.0,0.04010213084208203,False,True
17,HYP,0.8,4.655096922794192,80.32743441643873,60.0,0.04101180559334017,True,True
18,DLC,0.65,11.722110280104008,117.83316401908077,100.0,0.10758352733185772,False,False
19,WYX,0.45,10.743075610194463,109.97272574332649,100.0,0.23275751453783625,False,False
20,JJC,0.8,8.601537545592889,107.66857330738621,100.0,0.28235925449438715,False,False
21,LY,0.75,6.657833317246218,84.56830978546924,80.0,0.3420067195103785,False,False
22,YCX,0.65,8.88599278082379,96.71569687389672,100.0,0.5743792475465732,True,False
23,GAX,0.5,7.6822335400212465,94.95727815098864,100.0,0.6237660630036879,False,False
24,YJC,0.9,5.36857300319158,91.40289448673096,100.0,0.7186204712894875,True,False
25,LMT,0.45,8.137100277468289,81.36501686572126,100.0,0.9133767040192003,False,False
26,ZJ,0.55,8.178752626173543,81.19289750008853,100.0,0.9155627208698792,False,False
27,HP,0.5,7.311398438484192,80.08701652802152,100.0,0.9286972117103875,True,False
