,subject,dp,distance,chi-square,df,p-value,explainable,rejected
0,JJ,1.7,13.804627230475898,416.914963161477,150.0,0.0,False,True
1,ZLK,0.6,12.581894476064,353.87872565341524,150.0,0.0,False,True
2,QP,1.3,13.707468154163447,287.9625985315408,150.0,9.374945264539747e-11,False,True
3,TCD,0.9,16.11939521452961,287.8332711629561,150.0,9.678557955083988e-11,False,True
4,YPL,1.75,14.46977434653593,272.3326425721084,150.0,3.963778971716181e-09,False,True
5,ZY,0.85,13.51512253955119,236.4588861681894,150.0,8.476056132300513e-06,False,True
6,SL,0.9,13.48893338054795,215.6366480008849,150.0,0.00035873728115298764,False,True
7,ZJT,0.85,8.609427246617456,181.188676836204,120.0,0.0002619103318979299,False,True
8,CLL,0.55,9.87824118210552,147.7893917377631,90.0,0.00011941349055799577,False,True
9,JJC,0.8,11.535605260388627,202.00515701963351,150.0,0.0029817975545991526,False,True
10,XBJ,1.05,12.211262592770995,194.09956220013646,150.0,0.008897897030049173,False,True
11,BYZ,0.4,9.906296718190939,192.88759458249092,150.0,0.010424527972991315,False,True
12,LD,0.75,10.29070676880558,161.89373157474074,120.0,0.00651015226731988,False,True
13,SZJ,0.85,14.357713087634053,182.9425515583532,150.0,0.03468140585960755,True,True
14,HMH,0.7,13.642773003948186,156.17272244514558,150.0,0.34827567304813134,True,False
15,YCX,0.65,10.322329278546624,146.36382203076087,150.0,0.5687037877729124,False,False
16,PC,0.45,7.288414928538165,96.92841374989183,90.0,0.29008619527003066,True,False
17,LY,0.7,7.430831290490769,120.10894605260343,120.0,0.4800303786530654,False,False
18,ZXL,1.15,6.962959794514807,138.67160389536986,150.0,0.7364784079524187,False,False
19,HP,0.5,9.142395485118458,138.6442122187396,150.0,0.7370223340603472,False,False
20,YJZ,0.55,12.381255571462932,137.98783079994556,150.0,0.7499035612538085,False,False
21,DLC,0.6,12.019420578712044,134.36302616045464,150.0,0.8152426545756614,True,False
22,HYP,0.5,4.529881510409968,73.10204298513717,90.0,0.9028104887715134,False,False
23,WYX,0.4,10.720003072607783,113.11547317479814,150.0,0.989134445505191,True,False
24,GAX,0.5,7.892394580036905,106.58039372348624,150.0,0.9971153126394162,True,False
25,YJC,0.8,6.087000859135957,99.31865490385066,150.0,0.9995192023988726,False,False
26,ZJ,0.55,8.5679839606075,99.23136177014929,150.0,0.9995305016079602,True,False
27,LMT,0.5,8.259969996072735,86.61908407167473,150.0,0.9999921009661588,True,False
