,subject,dp,distance,chi-square,df,p-value,explainable,rejected
0,LR,2.5,13.32343794547627,393.36779377349467,100.0,0.0,False,True
1,HXT,2.5,8.341676395597569,376.2220448070512,100.0,0.0,False,True
2,CP,2.5,7.529204443721842,363.24261644190017,100.0,0.0,False,True
3,ZT,2.5,11.337959450787938,317.77571618067543,100.0,0.0,False,True
4,SJ2,1.3,15.562079210338705,293.47028906336976,100.0,0.0,True,True
5,LJJ,2.5,15.878499281989367,266.34390841732977,100.0,0.0,False,True
6,GJ,2.5,8.381598432355148,247.85846003160358,80.0,0.0,True,True
7,ZQT,2.5,5.0775133425549654,189.8342403278173,60.0,2.109423746787797e-15,True,True
8,HZL,2.5,11.104068561770577,249.61215813761643,100.0,8.770761894538738e-15,False,True
9,ZC,2.5,14.355143073847106,245.2830379790647,100.0,3.2640556923979596e-14,False,True
10,ZM,2.5,13.271759063958509,236.32574308876633,100.0,4.768407890765047e-13,False,True
11,RSL,2.5,17.250272873407148,230.298429544402,100.0,2.7871038810189934e-12,True,True
12,YJX,2.5,13.55602916560483,203.7802746684815,100.0,4.382696983107337e-09,True,True
13,CW,2.5,8.03018168128825,190.16792951632846,100.0,1.4259780178882409e-07,True,True
14,SYB,2.5,14.97038610948335,177.59708036700542,100.0,2.8812376370312975e-06,True,True
15,CSF,1.65,6.638650455424374,170.82978086140577,100.0,1.3241206661684934e-05,False,True
16,ZBY,2.4,8.681688945638896,167.86675763449963,100.0,2.5253624040821883e-05,False,True
17,SXQ,2.5,5.97601723633759,140.93066507895747,100.0,0.004411486727611935,True,True
18,CY,2.5,7.646248159294585,140.19841519210735,100.0,0.004976376811318239,True,True
19,LXL,2.5,9.350532413408713,130.93307285731728,100.0,0.02060490597190512,True,True
20,JYN,1.95,7.046684825870687,129.70120517733886,100.0,0.024516649178691896,True,True
21,WY,2.5,10.989189579812507,120.05248601141096,100.0,0.08389898238359139,True,False
22,ZYC,2.5,8.059761417144326,115.41773565919537,100.0,0.13889188171482258,False,False
23,LT,2.5,8.423566314599832,109.39105087075815,100.0,0.2447403519640025,False,False
24,WJ,2.5,6.091750649905992,74.02895785967384,80.0,0.6668623182156656,True,False
25,SJ,2.5,7.3613159742518,81.21918058023506,100.0,0.9152314125260064,True,False
