,subject,dp,distance,chi-square,df,p-value,explainable,rejected
0,HYP,0.5,28.97805489773528,787.3474614055717,60.0,0.0,False,True
1,PC,0.0,23.964280454921784,522.2537791358612,60.0,0.0,True,True
2,LD,0.75,21.532361996281942,400.75209254440614,80.0,0.0,False,True
3,ZLK,0.65,9.643144613203654,274.3949604738377,60.0,0.0,False,True
4,TCD,0.9,16.017250307311627,258.6055950921915,80.0,0.0,False,True
5,YPL,1.8,10.014048547764917,180.8860817417509,60.0,4.718447854656915e-14,False,True
6,JJ,1.85,8.066129992526648,178.14790461059155,60.0,1.2012613126444196e-13,False,True
7,XBJ,1.05,11.956961078638376,191.1640331529097,80.0,4.3357539780686245e-11,False,True
8,BYZ,0.4,7.270084874133108,150.6267184182031,60.0,9.555826130380753e-10,False,True
9,SL,1.05,9.458833025808614,144.44506603109414,60.0,6.395079243937119e-09,False,True
10,ZJT,0.95,6.297484747652787,143.4460527262376,60.0,8.65495419777318e-09,False,True
11,CLL,0.4,9.461957400196797,142.98001829656417,60.0,9.962629610171804e-09,False,True
12,JJC,0.8,7.8154812210687945,139.4048318718732,60.0,2.903427620548626e-08,False,True
13,QP,1.35,7.4580651551744435,134.64845575628254,60.0,1.1715445413784664e-07,False,True
14,ZY,0.9,8.116704487594088,123.96140353184505,60.0,2.369507631549972e-06,False,True
15,SZJ,0.85,10.994817112713804,116.79378966338369,60.0,1.5944113700649968e-05,True,True
16,LY,0.75,4.720050848614199,70.21129927391384,40.0,0.0022082810454558954,False,True
17,YCX,0.75,6.739699791934582,95.12265614788406,60.0,0.0026182826255458647,False,True
18,YJZ,0.45,8.70167341468523,94.68009196181238,60.0,0.002870625530491666,False,True
19,HP,0.45,5.555873760816144,83.6491476099288,60.0,0.02352981686859124,False,True
20,HMH,0.65,8.378576805251594,81.2312208428349,60.0,0.03539416607048085,True,True
21,DLC,0.45,7.425107336425757,78.6069882732016,60.0,0.053843918344465225,True,False
22,LMT,0.15,9.178197905852539,95.24252206184109,80.0,0.11742399109597135,True,False
23,ZXL,1.15,6.0035601260226645,70.40211663618555,60.0,0.1685942551071179,False,False
24,YJC,0.75,4.449001550985732,66.1675617988912,60.0,0.27251974329344103,False,False
25,GAX,0.0,5.375791192361095,63.114451571092566,60.0,0.3668598422354583,True,False
26,WYX,0.0,6.177027209374359,53.78208616575697,60.0,0.700921843616671,True,False
27,ZJ,0.45,4.600695585902685,39.70095652076522,60.0,0.9799910433846952,True,False
