,subject,dp,distance,chi-square,df,p-value,explainable,rejected
0,TCD,1.35,10.931171144675153,318.36507909844187,100.0,0.0,True,True
1,YPL,2.3,9.77501365982097,237.74444220533368,100.0,3.133049375492192e-13,True,True
2,JJ,2.25,8.993653071011568,218.11338400849488,100.0,8.94718743538192e-11,False,True
3,QP,1.65,10.716411454385764,191.0315267784409,100.0,1.1510171327167027e-07,True,True
4,SZJ,1.15,12.645630501080054,165.58392403111156,100.0,4.113294239505017e-05,False,True
5,JJC,1.15,8.186997243389628,137.29772998500826,100.0,0.007928563172531211,False,True
6,HMH,0.95,12.262670021152699,136.81956585540055,100.0,0.008545945251821284,False,True
7,XBJ,1.4,6.8048399931573424,133.22149261220588,100.0,0.014775818594053303,False,True
8,CLL,0.8,6.631377231981789,84.95421343115542,60.0,0.018719309098529147,False,True
9,ZLK,1.3,7.702828934212214,129.968183024388,100.0,0.023617590989412296,False,True
10,SL,1.2,10.422594474323166,121.32245449720249,100.0,0.07234201987586919,True,False
11,BYZ,0.7,7.8321699655382355,120.31703225346506,100.0,0.08137704058336392,True,False
12,ZY,1.1,10.201175886702991,119.7130220784484,100.0,0.08722610514104145,True,False
13,ZJT,1.35,5.8261620498666575,97.27587406803623,80.0,0.09174291762922926,True,False
14,LD,1.05,8.216566256930191,92.4132076185983,80.0,0.16186284317140331,False,False
15,PC,0.45,6.214385928434512,70.6797872263607,60.0,0.1629303083013227,False,False
16,LY,0.9,6.173088231353239,91.27610423025885,80.0,0.18277158452126446,False,False
17,YJZ,0.55,10.810278011491851,109.2241876441252,100.0,0.24824608357434466,False,False
18,DLC,0.6,10.271711113966653,96.64674271252399,100.0,0.5763320539347134,False,False
19,WYX,0.25,9.764223589765145,93.44120540567309,100.0,0.6652729522656634,False,False
20,YCX,0.85,8.12775174613287,85.54067935680176,100.0,0.8481606292490408,True,False
21,GAX,0.5,7.073344416691369,82.88745591069937,100.0,0.892331621484623,False,False
22,ZJ,0.65,7.658387737331345,73.94470977638719,100.0,0.976369471144556,False,False
23,ZXL,1.45,5.4922002882972105,70.44425948410509,100.0,0.9890559461136884,True,False
24,HP,0.75,6.482727501659223,67.41586900842586,100.0,0.9948808180493444,True,False
25,HYP,1.0,3.3150103745035957,35.200156294612945,60.0,0.9955976542168125,True,False
26,LMT,0.5,7.05872165013859,61.86320846540453,100.0,0.9990179004608224,False,False
27,YJC,1.1,4.5252540681561575,47.06331394967447,100.0,0.9999986100073388,True,False
