,subject,dp,distance,chi-square,df,p-value,explainable,rejected
0,HYP,0.6,28.80518015397179,779.0677198470095,60.0,0.0,True,True
1,PC,0.3,23.83401213709313,513.6839414612061,60.0,0.0,False,True
2,LD,0.8,20.813568136587516,374.62618751431984,80.0,0.0,False,True
3,ZLK,0.9,8.5238423982266,216.35478929541097,60.0,0.0,False,True
4,TCD,1.0,13.930721118098875,196.42535447557876,80.0,8.84947670698466e-12,True,True
5,YPL,1.85,8.208642074249186,123.1665286931155,60.0,2.940896509207036e-06,True,True
6,CLL,0.5,8.923125865081445,122.07660401467965,60.0,3.9476238008484535e-06,False,True
7,ZJT,1.05,5.417072885759686,118.53096709819323,60.0,1.0133459396155507e-05,True,True
8,XBJ,1.1,10.543267469889813,143.09608198288706,80.0,1.882987443990736e-05,False,True
9,JJ,1.9,5.390557513565929,112.73125364312506,60.0,4.4959545806522165e-05,False,True
10,JJC,0.9,6.818057904280203,110.44240443032608,60.0,7.942708645536367e-05,False,True
11,BYZ,0.55,6.40612881959346,103.99751620260916,60.0,0.00037057315689636994,True,True
12,SZJ,0.9,10.512162296555738,103.08631067201595,60.0,0.0004571480492021606,False,True
13,QP,1.4,6.212867771061371,94.52764701892276,60.0,0.0029626869301074828,True,True
14,YJZ,0.45,8.422498073211218,86.06597653348446,60.0,0.015336430461075138,False,True
15,SL,1.1,7.6094566559625125,80.2429172992736,60.0,0.04157444350593231,True,True
16,LY,0.8,4.201823909247359,55.42546375991385,40.0,0.053165148206925306,False,False
17,YCX,0.8,5.901404220379216,70.66744166413127,60.0,0.16317916743704786,True,False
18,ZY,0.9,6.599337770192445,68.07046154543231,60.0,0.2217423583067468,True,False
19,HMH,0.65,7.709087428557738,65.03488409615792,60.0,0.3057788579039077,False,False
20,DLC,0.5,6.831977279092412,64.54864686703152,60.0,0.320710693869536,False,False
21,LMT,0.4,8.838975201208537,83.77935442534631,80.0,0.3643945571811928,False,False
22,GAX,0.25,5.248087851864066,58.09177705381964,60.0,0.5457811794666997,False,False
23,YJC,0.8,4.04467744319939,53.97776304308635,60.0,0.6942291592988699,True,False
24,WYX,0.1,6.153655940013719,52.918398374992286,60.0,0.7298222384053485,False,False
25,HP,0.6,4.537520894083413,51.68446444796093,60.0,0.7690347898451422,True,False
26,ZXL,1.2,5.139925585990871,45.298728014187795,60.0,0.9204863087347356,True,False
27,ZJ,0.55,4.231786307440858,30.668872457003943,60.0,0.9994083958007856,False,False
