,subject,dp,distance,chi-square,df,p-value,explainable,rejected
0,LJJ,2.3,16.23546503962189,902.4396382894802,100.0,0.0,False,True
1,CP,1.9,9.454990434735,679.2629170463538,100.0,0.0,False,True
2,ZT,2.4,10.378379974593487,633.2516736490995,100.0,0.0,False,True
3,ZM,2.2,14.703984892073839,630.4136815704527,100.0,0.0,False,True
4,ZQT,1.95,7.179609579221772,621.7673775477592,60.0,0.0,True,True
5,SYB,2.5,12.597380975564356,582.6189727360877,100.0,0.0,True,True
6,LR,1.95,19.429129818011745,569.6029276784402,100.0,0.0,False,True
7,CSF,1.3,6.939637554479864,508.8008833528577,100.0,0.0,False,True
8,ZYC,2.25,11.006256324055538,503.02799309150925,100.0,0.0,False,True
9,GJ,2.35,7.837852098489527,500.83260742071207,80.0,0.0,True,True
10,CW,2.2,9.057756159370186,488.84753651853424,100.0,0.0,True,True
11,SJ,2.05,8.477596360680124,438.2975579912193,100.0,0.0,True,True
12,YJX,2.45,11.889461213372345,333.182940613843,100.0,0.0,True,True
13,HXT,1.95,9.351104913705583,281.27640335190125,100.0,0.0,False,True
14,ZC,2.35,12.319071271482875,272.0968496488068,100.0,0.0,False,True
15,HZL,2.2,10.463924628426216,234.62492575445773,100.0,7.872591467616985e-13,False,True
16,SJ2,0.95,17.129041854930232,231.2560688422757,100.0,2.109756813695185e-12,True,True
17,WJ,2.15,6.954068994386942,195.81112244144958,80.0,1.0668466110530517e-11,True,True
18,LT,2.2,9.270415182814247,218.5763823423271,100.0,7.862543949244127e-11,False,True
19,CY,2.0,8.633244972202599,216.1647625313975,100.0,1.5377321638254668e-10,True,True
20,RSL,2.5,10.192635151341118,187.1331696415633,100.0,3.0041825682669554e-07,True,True
21,LXL,2.3,8.788494924906812,169.31157499745885,100.0,1.8465051289884293e-05,True,True
22,WY,2.35,11.471586885113012,167.2297765943883,100.0,2.8960759090645997e-05,True,True
23,ZBY,1.9,10.533897258973733,144.41712858815902,100.0,0.0024469417757613248,False,True
24,SXQ,2.0,7.7673347804913,136.1562947628814,100.0,0.009474621606305187,True,True
25,JYN,1.5,7.215622036655822,126.03391505971668,100.0,0.04023806090790372,True,True
