,subject,dp,distance,chi-square,df,p-value,explainable,rejected
0,ZT,2.45,18.836998181281,471.90995541300117,150.0,0.0,False,True
1,LXL,2.5,17.983765154964708,439.59335399077827,150.0,0.0,False,True
2,LR,2.25,19.435222695408,409.1669658442109,150.0,0.0,False,True
3,RSL,2.5,20.65988397934232,392.5174302356419,150.0,0.0,False,True
4,CP,2.05,16.265116750627662,388.0014500916922,150.0,0.0,False,True
5,HXT,2.05,15.301773592828429,320.3266309578575,150.0,2.1094237467877974e-14,False,True
6,HZL,2.5,14.046098945942793,315.01066930641764,150.0,8.870681966755001e-14,False,True
7,ZM,2.5,15.236877421111819,303.5318007411395,150.0,1.826427897810845e-12,False,True
8,ZC,2.5,16.382650021680483,302.52636503882684,150.0,2.369215934550084e-12,False,True
9,GJ,2.5,10.598715871830652,301.05090881484216,120.0,0.0,False,True
10,SJ2,1.1,18.291736161555697,284.93180672904265,150.0,1.9710821863583305e-10,False,True
11,ZQT,2.4,7.091707784417722,271.57630948676757,90.0,0.0,False,True
12,LJJ,2.5,17.864125178486002,258.7586743309526,150.0,8.484508573491922e-08,False,True
13,YJX,2.5,15.2668409004896,256.44945857808483,150.0,1.4023143868335808e-07,False,True
14,SXQ,2.5,8.69724280718328,246.83038695038064,150.0,1.0685961774337116e-06,False,True
15,SYB,2.5,16.98755602698521,244.41894455244926,150.0,1.7492122754703132e-06,False,True
16,SJ,2.45,13.57033909618174,219.8610396585479,150.0,0.00017597912828903883,False,True
17,CY,2.45,10.458891722674712,213.96311948295173,150.0,0.0004723150061129999,False,True
18,CW,2.45,11.911869041699653,212.658333184604,150.0,0.0005836199720229418,False,True
19,CSF,1.6,7.839303791123732,204.61901861879704,150.0,0.002031273130655542,True,True
20,JYN,1.65,9.605122630447378,166.392184926435,150.0,0.17051410967158387,False,False
21,WY,2.5,12.428337726846907,165.58826687657674,150.0,0.18173949295925396,False,False
22,ZBY,2.25,12.150171571611546,162.41766176742516,150.0,0.23077476223746773,True,False
23,ZYC,2.5,10.647485831197493,156.5602286549657,150.0,0.3402671317799022,False,False
24,LT,2.5,10.196288705037004,151.56196139911074,150.0,0.4489408238473218,True,False
25,WJ,2.5,7.904931894380263,117.5692082217745,120.0,0.545720311547208,False,False
