,subject,dp,distance,chi-square,df,p-value,explainable,rejected
0,HYP,0.65,28.713240960919922,779.733669509596,60.0,0.0,False,True
1,PC,0.45,23.73873519499549,513.6210330158107,60.0,0.0,False,True
2,LD,0.85,20.986611716054327,384.0607950108907,80.0,0.0,False,True
3,TCD,1.2,14.32381166080231,272.8655712969366,80.0,0.0,False,True
4,ZLK,0.95,8.921148192421642,246.82553636104493,60.0,0.0,False,True
5,SL,1.4,7.747253076609918,235.39417729472862,60.0,0.0,False,True
6,YPL,2.15,7.566608944378354,215.13712578235402,60.0,0.0,False,True
7,ZY,1.05,7.087374697378754,130.22556045526477,60.0,4.1582843146592547e-07,False,True
8,JJ,2.05,5.329502948646389,126.42269588366516,60.0,1.205376138235792e-06,False,True
9,XBJ,1.1,10.556103495887983,151.17519192990125,80.0,2.669953798495328e-06,False,True
10,ZJT,1.05,5.524148330296949,116.84761802620388,60.0,1.5723131698397452e-05,False,True
11,BYZ,0.65,6.46911672173672,116.31059531390264,60.0,1.80675860848023e-05,False,True
12,QP,1.6,5.845433204795798,113.74416502125456,60.0,3.482790928821533e-05,False,True
13,SZJ,1.0,9.742913849228467,111.43441434101864,60.0,6.21506117840509e-05,False,True
14,JJC,1.05,6.666523926914945,107.2315886727724,60.0,0.00017311966714050886,False,True
15,YCX,0.95,5.367656005340409,106.68082829629137,60.0,0.00019741517260829508,False,True
16,CLL,0.65,8.504878059087389,100.63413176481285,60.0,0.0007962311034289683,False,True
17,HMH,0.85,7.4187130507840635,98.73564921126886,60.0,0.0012107799695474375,False,True
18,ZXL,1.35,5.540222342442599,82.74334468005478,60.0,0.0274839024545982,False,True
19,HP,0.65,4.779944353244112,73.02161752152347,60.0,0.12058576602125305,False,False
20,LY,0.9,3.7042595821422784,42.16688648627667,40.0,0.3773994737925772,True,False
21,YJZ,0.6,7.764703347982852,61.8472605777625,60.0,0.409946375817385,True,False
22,LMT,0.5,8.546773078518891,81.33382932014308,80.0,0.43741303948782617,False,False
23,DLC,0.7,6.55985394941826,59.340188419196394,60.0,0.4997975848672898,False,False
24,YJC,0.95,3.5605652863646715,51.322927031633434,60.0,0.7800027559393652,False,False
25,GAX,0.5,5.009940488844811,50.19218258320076,60.0,0.8126194718428097,False,False
26,WYX,0.3,6.004527850546907,49.61567423442335,60.0,0.8282057844309096,False,False
27,ZJ,0.6,3.8183028143156914,34.130010149146784,60.0,0.9971227458899028,False,False
